Used 2006 Saturn ION Level 3 Sedan,4000,87160,Red,Gray,TCA Auto,4 Speed Automatic,4 Cylinder,Four Door Sedan,22 photos,1 video,sedan
Used 2010 Mercedes-Benz E 350 Sedan,18000,69605,Black,Black,TCA Auto,7 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,41 photos,1 video,sedan
Used 2014 Chevrolet Sonic LT Sedan,9000,44590,Gray,Gray,TCA Auto,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,23 photos,1 video,sedan
Used 2009 Honda Civic EX Sedan,11995,58276,Gray,NA,Honda Windward,5 Speed Automatic,4 Cylinder,Four Door Sedan,22 photos,NA,sedan
Used 2011 BMW 328i Sedan,15995,46162,Black Sapphire,NA,BMW of Honolulu,NA,6 Cylinder,Four Door Sedan,27 photos,NA,sedan
Used 2014 Honda Civic LX Sedan,15995,22900,Taffeta White,13320 / 14897,Honda Windward,Continuously Variable Automatic,4 Cylinder,Four Door Sedan,24 photos,NA,sedan
Used 2011 Subaru Impreza WRX Sedan,22000,61000,White,Black,TCA Auto,5 Speed Manual,4 Cylinder Turbo,Four Door Sedan,22 photos,1 video,sedan
Used 2017 Honda Accord Touring Hybrid Sedan,35995,6130,White Orchid Pearl,Black,Honda Windward,Continuously Variable Automatic,Hybrid,Four Door Sedan,27 photos,NA,sedan
Certified 2017 Audi A4 2.0T Premium Plus quattro Sdn,43562,6630,Ibis White,Black,Audi Hawaii,7 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,27 photos,1 video,sedan
Used 2014 Chevrolet Sonic LT Sedan,9000,45512,Gray,Gray,TCA Auto,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2011 Hyundai Elantra GLS,10500,42659,Gold,NA,Honolulu Ford,Automatic,4 Cylinder,Four Door Sedan,18 photos,1 video,sedan
Used 2014 Nissan Sentra SV,11995,41502,Brilliant Silver,Marble Gray,MINI OF HAWAII,Continuously Variable Automatic,4 Cylinder,Four Door Sedan,51 photos,NA,sedan
Used 2015 Honda Civic LX Sedan,16995,24801,Crimson Pearl,14055 / 15746,Honda Windward,Continuously Variable Automatic,4 Cylinder,Four Door Sedan,25 photos,NA,sedan
Used 2015 Volkswagen Passat 1.8T,16995,22490,Candy White,13877 / 16104,Honda Windward,6 Speed Automatic,4 Cylinder Turbo,Four Door Sedan,22 photos,NA,sedan
Used 2008 Lexus LS 460,18000,83993,Blue,Tan,TCA Auto,8 Speed Shiftable Automatic,8 Cylinder,Four Door Sedan,26 photos,1 video,sedan
Used 2016 Honda Civic LX Sedan,18995,13973,Blue,16649 / 17947,Honda Windward,Continuously Variable Automatic,4 Cylinder,Four Door Sedan,26 photos,NA,sedan
Used 2016 Chrysler 300 C,24276,17232,White,NA,Honolulu Ford,8 Speed Automatic,6 Cylinder,Four Door Sedan,21 photos,1 video,sedan
Certified 2014 Ford Taurus SHO AWD,25998,22833,Silver,Aluminum,Honolulu Ford,6 Speed Shiftable Automatic,6 Cylinder Turbo,Four Door Sedan,20 photos,2 videos,sedan
Used 2003 Honda Civic EX Sedan,5995,90390,Satin Silver,2892 / 5444,Honda Windward,4 Speed Automatic,4 Cylinder,Four Door Sedan,21 photos,NA,sedan
Used 2008 BMW 528i Sedan,9998,75636,Gold,Beige,Honolulu Ford,Automatic,6 Cylinder,Four Door Sedan,19 photos,1 video,sedan
Used 2008 Dodge Charger SXT,10995,65736,Red,Black,Honolulu Volkswagen,4 Speed Automatic,6 Cylinder,Four Door Sedan,23 photos,NA,sedan
Used 2012 Chevrolet Malibu LT,11995,47829,Silver,Black,Honolulu Volkswagen,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,26 photos,NA,sedan
Used 2010 Honda Civic LX,11995,53502,Alabaster Silver,8356 / 10541,Honda Windward,5 Speed Automatic,4 Cylinder,Four Door Sedan,23 photos,NA,sedan
Used 2013 Toyota Corolla,12995,24008,Blue,10639 / 12844,Honda Windward,4 Speed Automatic,4 Cylinder,Four Door Sedan,25 photos,NA,sedan
Used 2009 Audi A4 2.0T Premium Plus quattro Sdn,13995,53515,Black,NA,BMW of Honolulu,6 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,27 photos,NA,sedan
Used 2013 Hyundai Sonata SE,14229,26259,Harbor Gray Metallic,Gray,MINI OF HAWAII,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,53 photos,NA,sedan
Used 2011 BMW 328i Sedan,14995,51959,NA,12046 / 14407,Honda Windward,6 Speed Automatic,6 Cylinder,Four Door Sedan,22 photos,NA,sedan
Certified 2014 Honda Civic LX Sedan,15995,17979,Brown,NA,Honda Windward,Continuously Variable Automatic,4 Cylinder,Four Door Sedan,24 photos,NA,sedan
Used 2015 Honda Civic LX Sedan,15995,8304,Urban Titanium,Beige,Honda Windward,Continuously Variable Automatic,4 Cylinder,Four Door Sedan,24 photos,NA,sedan
Used 2015 Honda Civic LX Sedan,15995,13908,Urban Titanium,Beige,Honda Windward,Continuously Variable Automatic,4 Cylinder,Four Door Sedan,25 photos,NA,sedan
Used 2013 Dodge Charger SXT,16995,69979,Bright White,14876 / 16887,Honda Windward,8 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,23 photos,NA,sedan
Used 2015 Honda Civic EX Sedan,17558,9472,Modern Steel,Black,Honda Windward,Continuously Variable Automatic,4 Cylinder,Four Door Sedan,24 photos,NA,sedan
Used 2015 Dodge Charger SE,19888,21166,Silver,Black,Honolulu Ford,8 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,18 photos,1 video,sedan
Used 2016 Chevrolet Malibu Limited LTZ,19995,20534,Silver Ice,16230 / 19297,Honda Windward,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,23 photos,NA,sedan
Used 2016 Nissan Altima 3.5 SR,21977,656,Super Black,Charcoal,MINI OF HAWAII,Continuously Variable Automatic,6 Cylinder,Four Door Sedan,49 photos,NA,sedan
Used 2014 BMW 320i Sedan,21995,23128,Imperial Blue,NA,BMW of Honolulu,NA,4 Cylinder Turbo,Four Door Sedan,24 photos,NA,sedan
Used 2014 BMW 328i Sedan,22995,51478,Black,17813 / 22107,Honda Windward,NA,4 Cylinder Turbo,Four Door Sedan,27 photos,NA,sedan
Used 2012 BMW 535i Sedan,23995,30655,Space Gray,NA,BMW of Honolulu,NA,6 Cylinder Turbo,Four Door Sedan,28 photos,NA,sedan
Used 2010 Audi S4 Premium Plus,23995,68340,Black,Black,Honolulu Volkswagen,6 Speed Manual,6 Cylinder Supercharg,Four Door Sedan,25 photos,NA,sedan
Used 2015 BMW 328i Sedan,24000,27048,Gray,Black,TCA Auto,8 Speed Automatic,4 Cylinder Turbo,Four Door Sedan,24 photos,1 video,sedan
Certified 2016 Audi A3 1.8T Premium Sedan,29771,5561,Lotus Gray Metallic,Black,Audi Hawaii,6 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,27 photos,1 video,sedan
Used 2017 Ford Fusion Sport AWD,29995,1819,Blue,NA,BMW of Honolulu,6 Speed Shiftable Automatic,6 Cylinder Turbo,Four Door Sedan,25 photos,NA,sedan
Used 2017 Volkswagen CC R-Line Executive,31995,525,Black,NA,BMW of Honolulu,6 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,25 photos,NA,sedan
Used 2014 BMW 335i Sedan,32495,29961,Mineral Gray,NA,BMW of Honolulu,NA,6 Cylinder Turbo,Four Door Sedan,28 photos,NA,sedan
Used 2015 Lexus IS 250,32995,7558,White,NA,BMW of Honolulu,6 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,28 photos,NA,sedan
Used 2014 BMW 528i Sedan,33495,22636,Dark Graphite,NA,BMW of Honolulu,8 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,24 photos,NA,sedan
Used 2014 BMW 528i Sedan,34495,11055,Dark Graphite,NA,BMW of Honolulu,8 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,27 photos,NA,sedan
Used 2014 BMW 535i Sedan,34995,22745,Mineral,NA,BMW of Honolulu,NA,6 Cylinder Turbo,Four Door Sedan,26 photos,NA,sedan
Used 2014 BMW 535i Sedan,35495,25073,Alpine White,NA,BMW of Honolulu,NA,6 Cylinder Turbo,Four Door Sedan,29 photos,NA,sedan
Used 2014 BMW 335i Sedan,36995,12836,Black Sapphire,NA,BMW of Honolulu,NA,6 Cylinder Turbo,Four Door Sedan,26 photos,NA,sedan
Used 2014 BMW 740Li,39488,25190,Black Sapphire,NA,BMW of Honolulu,8 Speed Shiftable Automatic,6 Cylinder Turbo,Four Door Sedan,27 photos,NA,sedan
Used 2014 BMW 535i Sedan,44995,8696,Carbon Black,NA,BMW of Honolulu,NA,6 Cylinder Turbo,Four Door Sedan,29 photos,NA,sedan
Used 2015 BMW 750i,57995,17394,Dark Graphite,NA,BMW of Honolulu,8 Speed Shiftable Automatic,8 Cylinder Turbo,Four Door Sedan,27 photos,NA,sedan
Used 2003 Mazda Protege,5988,61001,Silver,NA,Aloha Auto Group,NA,4 Cylinder,Four Door Sedan,25 photos,NA,sedan
Used 2009 Volkswagen Jetta S Sedan,6000,70967,Black,Black,TCA Auto,6 Speed Automatic,5 Cylinder,Four Door Sedan,21 photos,1 video,sedan
Used 2007 Honda Accord EX V6 Sedan,6875,105728,Graphite Pearl,6116 / 8326,Honda Windward,5 Speed Automatic,6 Cylinder,Four Door Sedan,24 photos,NA,sedan
Used 2003 Lexus ES 300,6888,132248,White,Ivory,Honolulu Volkswagen,5 Speed Automatic,6 Cylinder,Four Door Sedan,24 photos,NA,sedan
Used 2011 Ford Fiesta SE Sedan,7495,65932,Gray,Charcoal Black,Windward Ford,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,37 photos,NA,sedan
Used 2011 Volkswagen Jetta SE,8900,70164,Reflex Silver Metallic,Titan Black,MINI OF HAWAII,6 Speed Shiftable Automatic,5 Cylinder,Four Door Sedan,47 photos,NA,sedan
Used 2012 Dodge Avenger SXT,10988,62322,Silver,NA,Aloha Auto Group,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,25 photos,NA,sedan
Used 2009 BMW 335i Sedan,12995,87892,Titanium Silver Metallic,Black,Honolulu Volkswagen,Automatic,6 Cylinder Turbo,Four Door Sedan,24 photos,NA,sedan
Used 2013 Kia Forte SX Sedan,13988,57395,Black,NA,Aloha Auto Group,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,30 photos,NA,sedan
Used 2011 BMW 328i xDrive Sedan,13995,77292,Silver,NA,BMW of Honolulu,NA,6 Cylinder,Four Door Sedan,22 photos,NA,sedan
Used 2013 Ford Fusion SE Hybrid,14995,51265,Maroon,14893 / 16649,Honda Windward,Continuously Variable Automatic,Hybrid,Four Door Sedan,27 photos,NA,sedan
Used 2011 Acura TSX Sedan,14995,78426,Gray,12564 / 14850,Honda Windward,5 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,25 photos,NA,sedan
Used 2015 Honda Civic LX Sedan,15995,24909,Dyno Blue Pearl,13492 / 15202,Honda Windward,Continuously Variable Automatic,4 Cylinder,Four Door Sedan,24 photos,NA,sedan
Used 2014 Kia Optima EX,16850,44520,White,Beige,Windward Ford,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,40 photos,NA,sedan
Used 2013 Ford Fusion Titanium Hybrid,17995,25213,Ingot Silver,Charcoal Black,Windward Ford,Continuously Variable Automatic,Hybrid,Four Door Sedan,40 photos,NA,sedan
Used 2006 Subaru Impreza WRX STI Sedan,20000,100691,White,Blue,TCA Auto,6 Speed Manual,4 Cylinder Turbo,Four Door Sedan,21 photos,1 video,sedan
Used 2012 Hyundai Equus,20888,48348,Platinum,Jet Black With Premium Leather,Honda Windward,8 Speed Shiftable Automatic,8 Cylinder,Four Door Sedan,27 photos,NA,sedan
Used 2014 BMW 328d Sedan,23995,40119,Glacier Silver,NA,BMW of Honolulu,8 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,25 photos,NA,sedan
Used 2014 Mercedes-Benz CLA 250,23995,33716,Cirrus White,Beige,MINI OF HAWAII,7 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,51 photos,NA,sedan
Used 2016 Lincoln MKZ,24753,19744,Gray,Ebony,Honolulu Ford,6 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,19 photos,1 video,sedan
Used 2016 Dodge Charger R/T,25488,15033,Gray,NA,Honolulu Ford,8 Speed Shiftable Automatic,8 Cylinder,Four Door Sedan,20 photos,1 video,sedan
Used 2015 INFINITI Q50,26995,21649,Graphite Shadow,23307 / 26169,Honda Windward,7 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,27 photos,NA,sedan
Used 2014 BMW 528i Sedan,28887,30182,Jet Black,NA,BMW of Honolulu,8 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,27 photos,NA,sedan
Used 2014 BMW 328i Sedan,28995,33524,Black Sapphire,NA,BMW of Honolulu,NA,4 Cylinder Turbo,Four Door Sedan,28 photos,NA,sedan
Used 2014 BMW 528i Sedan,29995,34672,Mineral,NA,BMW of Honolulu,8 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,25 photos,NA,sedan
Used 2014 BMW 335i Sedan,30995,44986,Mineral,NA,BMW of Honolulu,NA,6 Cylinder Turbo,Four Door Sedan,28 photos,NA,sedan
Used 2014 BMW 528i Sedan,32495,34986,Mineral,NA,BMW of Honolulu,8 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,25 photos,NA,sedan
Used 2014 BMW 335i Sedan,32495,23371,Black Sapphire,NA,BMW of Honolulu,NA,6 Cylinder Turbo,Four Door Sedan,25 photos,NA,sedan
Used 2014 BMW 535i Sedan,33995,36515,Jet Black,NA,BMW of Honolulu,NA,6 Cylinder Turbo,Four Door Sedan,28 photos,NA,sedan
Certified 2015 Kia K900 Luxury,34280,18185,Snow Wht Pearl,NA,Aloha Auto Group,8 Speed Shiftable Automatic,8 Cylinder,Four Door Sedan,36 photos,NA,sedan
Used 2014 BMW 550i Sedan,38995,18982,Alpine White,NA,BMW of Honolulu,8 Speed Shiftable Automatic,8 Cylinder Turbo,Four Door Sedan,27 photos,NA,sedan
Used 2015 BMW 535i Sedan,38995,23491,Jet Black,NA,BMW of Honolulu,8 Speed Shiftable Automatic,6 Cylinder Turbo,Four Door Sedan,28 photos,NA,sedan
Used 2014 BMW 550i Sedan,39995,34673,Carbon Black,NA,BMW of Honolulu,8 Speed Shiftable Automatic,8 Cylinder Turbo,Four Door Sedan,29 photos,NA,sedan
Used 2015 BMW 640i Gran Coupe,53495,21733,Mojave,NA,BMW of Honolulu,8 Speed Shiftable Automatic,6 Cylinder Turbo,Four Door Sedan,25 photos,NA,sedan
Used 2014 BMW 650i Gran Coupe xDrive,55995,35152,Blue,NA,BMW of Honolulu,8 Speed Shiftable Automatic,8 Cylinder Turbo,Four Door Sedan,28 photos,NA,sedan
Used 2005 Honda Civic EX Sedan,8995,34513,Maroon,6357 / 8577,Honda Windward,4 Speed Automatic,4 Cylinder,Four Door Sedan,21 photos,NA,sedan
Used 2014 Hyundai Elantra Limited Sedan,12995,44638,Gray,NA,New City Nissan,6 Speed Automatic,4 Cylinder,Four Door Sedan,10 photos,1 video,sedan
Used 2016 Nissan Versa,12995,20399,Fresh Powder,Charcoal,Honda Windward,NA,4 Cylinder,Four Door Sedan,23 photos,NA,sedan
Used 2014 Volkswagen Jetta SE Sedan,13750,36860,Black Uni,Titan Black,Windward Ford,6 Speed Shiftable Automatic,4 Cylinder Turbo,Four Door Sedan,40 photos,NA,sedan
Used 2014 Nissan Maxima 3.5 S,13900,41830,Brilliant Silver Metallic,Charcoal,MINI OF HAWAII,Continuously Variable Automatic,6 Cylinder,Four Door Sedan,54 photos,NA,sedan
Used 2015 Hyundai Sonata SE,14478,28424,Dark Truffle,Beige,Honda Windward,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,23 photos,NA,sedan
Used 2015 Nissan Altima,14988,41674,Silver,NA,Aloha Auto Group,Continuously Variable Automatic,4 Cylinder,Four Door Sedan,27 photos,NA,sedan
Used 2012 Honda Civic LX Sedan,14999,49647,White,NA,Aloha Auto Group,5 Speed Automatic,4 Cylinder,Four Door Sedan,22 photos,NA,sedan
