Used 2006 Dodge Charger,7709,85903,Blue,NA,O'Neil Buick GMC,5 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,55 photos,2 videos,sedan
Used 2013 Nissan Altima 2.5 S,15990,32637,Storm Blue Metallic,Charcoal,Colonial Nissan,Continuously Variable Automatic,4 Cylinder,Four Door Sedan,31 photos,1 video,sedan
Used 2015 Kia Optima EX,17841,5746,White,Black,Royal Auto Group,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,42 photos,1 video,sedan
Used 2014 Honda Accord LX Sedan,13995,36177,Modern Steel Metallic,Gray,Cherry Hill Dodge Chrysler Jeep RAM KIA Mitsubishi,Continuously Variable Automatic,4 Cylinder,Four Door Sedan,31 photos,1 video,sedan
Used 2011 INFINITI M37 x,17541,68500,Black,Tan,Royal Auto Group,7 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,30 photos,1 video,sedan
Used 2015 Nissan Altima 2.5 S,17990,27434,Super Black,Charcoal,Colonial Nissan,Continuously Variable Automatic,4 Cylinder,Four Door Sedan,31 photos,1 video,sedan
Used 2001 Ford Focus SE Sedan,2841,109817,Tan,Tan,Royal Auto Group,Automatic,4 Cylinder,Four Door Sedan,22 photos,1 video,sedan
Used 2007 Hyundai Elantra GLS,6495,79454,Quicksilver,Gray,Conicelli Autoplex Nissan Honda Hyundai,Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2008 Buick Lucerne CXL,7490,75914,White Diamond Tricoat,Tan Leather,INFINITI of Ardmore,4 Speed Automatic,6 Cylinder,Four Door Sedan,31 photos,1 video,sedan
Used 2006 Cadillac CTS 3.6,7701,85953,White,NA,O'Neil Buick GMC,NA,6 Cylinder,Four Door Sedan,51 photos,2 videos,sedan
Used 2007 Toyota Avalon Touring,7941,84444,Gold,Tan,Royal Auto Group,5 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,25 photos,1 video,sedan
Used 2007 Toyota Corolla LE,7998,93554,Super White,Stone,Central City Toyota,Automatic,4 Cylinder,Four Door Sedan,25 photos,1 video,sedan
Used 2006 Buick Lucerne CXL,8280,48965,White,NA,O'Neil Buick GMC,4 Speed Automatic,6 Cylinder,Four Door Sedan,49 photos,3 videos,sedan
Used 2006 Buick Lucerne CXL,8699,51832,Silver,NA,O'Neil Buick GMC,4 Speed Automatic,6 Cylinder,Four Door Sedan,49 photos,3 videos,sedan
Used 2013 Dodge Dart SXT,8941,100575,Orange,Black,Royal Auto Group,6 Speed Manual,4 Cylinder,Four Door Sedan,26 photos,1 video,sedan
Used 2014 Ford Focus Titanium Sedan,8941,49293,Black,Black,Royal Auto Group,Automatic,4 Cylinder,Four Door Sedan,28 photos,1 video,sedan
Certified 2012 Ford Fiesta SEL Sedan,8990,32888,Oxford White,Charcoal Black/White,Holman Ford Lincoln Maple Shade,Automatic,4 Cylinder,Four Door Sedan,29 photos,1 video,sedan
Used 2011 Chevrolet Impala LT,9400,59733,Victory Red,Gray,Central City Toyota,4 Speed Automatic,6 Cylinder,Four Door Sedan,28 photos,1 video,sedan
Used 2004 Lexus ES 330,9500,98497,Millennium Silver Metallic,Light Charcoal,Central City Toyota,5 Speed Automatic,6 Cylinder,Four Door Sedan,32 photos,1 video,sedan
Used 2008 Chevrolet Impala LTZ,10167,58746,Gold Mist,NA,O'Neil Buick GMC,4 Speed Automatic,6 Cylinder,Four Door Sedan,57 photos,3 videos,sedan
Used 2013 Mazda MAZDA6 i Sport,10451,34156,Black,Tan,Royal Auto Group,Automatic,4 Cylinder,Four Door Sedan,27 photos,1 video,sedan
Certified 2014 Ford Fiesta SE Sedan,10490,10271,Ingot Silver Metallic,Charcoal Black,Holman Ford Lincoln Maple Shade,Automatic,4 Cylinder,Four Door Sedan,27 photos,1 video,sedan
Used 2014 Ford Focus SE Sedan,10941,8693,Red,Champagne,Royal Auto Group,Automatic,4 Cylinder,Four Door Sedan,30 photos,1 video,sedan
Certified 2012 Nissan Versa S,10990,42761,Magnetic Gray Metallic,Charcoal,Colonial Nissan,Continuously Variable Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2007 Toyota Camry XLE,11350,55528,Titanium Metallic,Ash,Central City Toyota,6 Speed Shiftable Automatic,6 Cylinder,Four Door Sedan,36 photos,1 video,sedan
Used 2007 Honda Accord VP Sedan,11990,60669,Royal Blue Pearl,Gray,Colonial Nissan,5 Speed Automatic,4 Cylinder,Four Door Sedan,25 photos,1 video,sedan
Used 2012 Ford Fusion SE,12000,34035,Bordeaux Reserve,Medium Light Stone,Ardmore Nissan,Automatic,4 Cylinder,Four Door Sedan,28 photos,1 video,sedan
Used 2012 Toyota Corolla S,12990,36736,Black Sand Pearl,Dark Charcoal,Colonial Nissan,Automatic,4 Cylinder,Four Door Sedan,27 photos,1 video,sedan
Used 2012 Nissan Sentra 2.0 S,12990,29758,Brilliant Silver,Gray,Colonial Nissan,Continuously Variable Automatic,4 Cylinder,Four Door Sedan,27 photos,1 video,sedan
Used 2011 Toyota Camry LE,13420,21933,Super White,Bisque,Ardmore Toyota,Automatic,4 Cylinder,Four Door Sedan,27 photos,1 video,sedan
Certified 2012 Honda Civic LX Sedan,13495,17947,Polished Metal Metallic,Gray,Conicelli Autoplex Nissan Honda Hyundai,5 Speed Automatic,4 Cylinder,Four Door Sedan,24 photos,1 video,sedan
Used 2012 Buick Regal Leather,13682,47609,Black,NA,O'Neil Buick GMC,6 Speed Shiftable Automatic,4 Cylinder,Four Door Sedan,53 photos,2 videos,sedan
Used 2014 Toyota Corolla LE,13750,19082,Super White,Ash,Central City Toyota,Continuously Variable Automatic,4 Cylinder,Four Door Sedan,30 photos,1 video,sedan
